Gender,Region,Year,Number of Newborns,sum
All,Penghu County,1997,1291,
All,Penghu County,1998,1030,
All,Penghu County,1999,1084,
All,Penghu County,2000,1238,
All,Penghu County,2001,1093,
All,Penghu County,2002,1076,
All,Penghu County,2003,1026,
All,Penghu County,2004,941,
All,Penghu County,2005,849,
All,Penghu County,2006,861,
All,Penghu County,2007,784,
All,Penghu County,2008,726,
All,Penghu County,2009,764,
All,Penghu County,2010,662,
All,Penghu County,2011,810,
All,Penghu County,2012,978,
All,Penghu County,2013,867,
All,Penghu County,2014,943,
All,Penghu County,2015,892,
All,Penghu County,2016,1004,
All,Penghu County,2017,1038,
All,Penghu County,2018,881,
All,Penghu County,2019,988,
All,Penghu County,2020,996,
All,Penghu County,2021,907,
All,Total,1994,322938,
All,Total,1995,329581,
All,Total,1996,325545,
All,Total,1997,326002,
All,Total,1998,271450,
All,Total,1999,283661,
All,Total,2000,305312,
All,Total,2001,260354,
All,Total,2002,247530,
All,Total,2003,227070,
All,Total,2004,216419,
All,Total,2005,205854,
All,Total,2006,204459,
All,Total,2007,204414,
All,Total,2008,198733,
All,Total,2009,191310,
All,Total,2010,166886,
All,Total,2011,196627,
All,Total,2012,229481,
All,Total,2013,199113,
All,Total,2014,210383,
All,Total,2015,213598,
All,Total,2016,208440,
All,Total,2017,193844,
All,Total,2018,181601,
All,Total,2019,177767,
All,Total,2020,165249,
All,Total,2021,153820,
Male,Total,1994,168444,
Female,Total,1994,154494,
Female,Total,1995,158463,
Male,Total,1995,171118,
Male,Total,1996,169484,
Female,Total,1996,156061,
Female,Total,1997,155955,
Male,Total,1997,170047,
Male,Total,1998,141462,
Female,Total,1998,129988,
Female,Total,1999,135619,
Male,Total,1999,148042,
Male,Total,2000,159726,
Female,Total,2000,145586,
Female,Total,2001,124758,
Male,Total,2001,135596,
Male,Total,2002,129537,
Female,Total,2002,117993,
Female,Total,2003,108086,
Male,Total,2003,118984,
Male,Total,2004,113639,
Female,Total,2004,102780,
Female,Total,2005,98476,
Male,Total,2005,107378,
Male,Total,2006,106936,
Female,Total,2006,97523,
Female,Total,2007,97516,
Male,Total,2007,106898,
Male,Total,2008,103937,
Female,Total,2008,94796,
Female,Total,2009,91818,
Male,Total,2009,99492,
Male,Total,2010,87213,
Female,Total,2010,79673,
Female,Total,2011,94684,
Male,Total,2011,101943,
Male,Total,2012,118848,
Female,Total,2012,110633,
Female,Total,2013,95993,
Male,Total,2013,103120,
Male,Total,2014,108817,
Female,Total,2014,101566,
Female,Total,2015,102557,
Male,Total,2015,111041,
Male,Total,2016,108133,
Female,Total,2016,100307,
Female,Total,2017,93367,
Male,Total,2017,100477,
Male,Total,2018,93876,
Female,Total,2018,87725,
Female,Total,2019,85530,
Male,Total,2019,92237,
Male,Total,2020,85704,
Female,Total,2020,79545,
Female,Total,2021,74307,
Male,Total,2021,79513,
